	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
eta_[81]	-2.59139570333983	0.00542022364757233	0.216526293992236	-3.03940647297918	-2.72948532620566	-2.58447980557484	-2.44424301825653	-2.18558895489996	1595.83090759906	1.00170768520784
eta_[82]	-2.93896720273028	0.00692354374711933	0.241555001412772	-3.44511330056249	-3.09276706051356	-2.9271972979646	-2.77021275786025	-2.50443755273069	1217.23711673474	1.00190030588318
eta_[83]	-2.60714158139859	0.00539365686988942	0.218959793654627	-3.05881086605838	-2.74789472716589	-2.598315939283	-2.4568138618893	-2.20391802538587	1648.01864791507	1.00133386254502
eta_[84]	-1.1340791140342	0.00253085638733833	0.217265714107779	-1.5701646210388	-1.27860782901237	-1.12880802994028	-0.984922809223305	-0.720851734949657	7369.65895917778	1.00025894602157
eta_[85]	-0.641138559311493	0.00202853282862866	0.216399972018809	-1.0751709686075	-0.783813173409534	-0.644360219302259	-0.497628575392849	-0.215459994758954	11380.2111373517	0.999881429305561
eta_[86]	-2.50504150937907	0.00510824175479376	0.216937241073804	-2.94471403122315	-2.64601046028714	-2.49966767833528	-2.35659865334441	-2.09430335006651	1803.53817756812	1.00147886585359
eta_[87]	-2.37888173802405	0.0048846400703742	0.218167027637515	-2.81885431773028	-2.52180946202372	-2.37400283764218	-2.23045125310528	-1.95992907296117	1994.86308538008	1.00151016753955
eta_[88]	1.13268124184463	0.00537737227596573	0.244586174749955	0.675101223438175	0.964722842379485	1.12711713172168	1.28728738416393	1.63591473058957	2068.82426907104	1.00038813881965
eta_[89]	-2.57045447189002	0.00527393240700963	0.22007283105966	-3.0206600209045	-2.71169269880977	-2.56314720831474	-2.41913459738453	-2.16177551587509	1741.26047437872	1.00167114508897
eta_[90]	-0.379750487043472	0.00208209785824024	0.212813284670513	-0.795316238287054	-0.522772932024152	-0.382892206116875	-0.238134429936146	0.0392496707018481	10447.0866046996	0.999848299937644
eta_[91]	-1.29523955689667	0.00281443801798621	0.236158300946956	-1.79779547450328	-1.44391066617363	-1.28457640609447	-1.13354899659153	-0.858420222910136	7040.81695520019	1.00059919102998
eta_[92]	-2.4626890433085	0.00494945649516351	0.213378926253469	-2.88807868677159	-2.60206941415028	-2.46047712657063	-2.3188641963741	-2.05052133471756	1858.60896779472	1.0014947818636
eta_[93]	-0.342530148254926	0.00216219831717309	0.214602014151665	-0.760339470301732	-0.48627229589217	-0.34346735243601	-0.198958397318709	0.076527171932263	9850.9142228143	1.0001756982961
eta_[94]	-0.416469849703822	0.00205093339609076	0.210112713384464	-0.828621805693638	-0.559237842838188	-0.41729690775583	-0.275874768459107	0.00275771053511246	10495.4617127452	0.999902852529577
eta_[95]	-2.85691453842372	0.00632340450776354	0.234272374886468	-3.34946013972069	-3.00483644479578	-2.84801938671515	-2.69572640304976	-2.42751034652511	1372.58810616713	1.00158758017505
eta_[96]	-1.43395589928608	0.00334288280446637	0.253097598120741	-1.97381713395095	-1.59284769231773	-1.42167020633626	-1.25818105494588	-0.974706952286094	5732.36380278805	0.999937597010217
eta_[97]	-2.63235670754953	0.005428055771921	0.219794564116681	-3.08746888933625	-2.7736946530848	-2.62515542660754	-2.48288920722457	-2.21519020772688	1639.62787189234	1.0017609314448
eta_[98]	-0.0904195709795317	0.00237208803096856	0.21777569408611	-0.51090973299061	-0.238833839556451	-0.0932792695733728	0.0565674527839562	0.342842720170953	8428.63425466134	1.00006898066323
eta_[99]	-0.919121472185991	0.00204659296351428	0.215040628738507	-1.34789154034606	-1.06199211846597	-0.916207081700837	-0.773621354380131	-0.503368447583645	11040.2291862846	1.00002070904944
eta_[100]	-2.61463054418284	0.00544338895848343	0.218654509618486	-3.06567295565207	-2.7571689100867	-2.60808834253049	-2.4638096094711	-2.20988207731563	1613.53407591688	1.00182969450335
eta_[101]	-0.148597162299825	0.00248541484315677	0.212125615020477	-0.563835647653502	-0.290035832654654	-0.153368863524737	-0.00714471204610199	0.276579762794925	7284.3105664431	0.999983720315656
eta_[102]	0.164695903172344	0.00301660763816903	0.220248925320996	-0.255399868949636	0.0138523330432438	0.163045262988335	0.307433370219144	0.609789221502554	5330.76997912208	1.00009970460439
eta_[103]	-1.99600616863461	0.00429503920446573	0.262526698441182	-2.49476008473763	-2.17912369507989	-2.0063958752295	-1.82024511671181	-1.4634321302981	3736.05007922396	1.00086281941288
eta_[104]	-0.439599768073696	0.00210417277912472	0.21144621494916	-0.851266101696403	-0.582514829563618	-0.439277917321004	-0.299464439910418	-0.0240075923872166	10098.0387912566	1.00012079247008
eta_[105]	-0.187307401617823	0.00214376080214289	0.173810725372995	-0.520564636663383	-0.305784898738342	-0.188584857673665	-0.0719945751643269	0.159558924776001	6573.5579002465	1.0002025500074
eta_[106]	-0.595283689917962	0.00188961783535204	0.212536923853745	-1.01324879666424	-0.738841268578941	-0.595862150257655	-0.453265892964959	-0.175794213459276	12650.8825047943	0.99995648210302
eta_[107]	-0.0415397992967842	0.00263845125339469	0.220258009953447	-0.463531084158822	-0.192936411306714	-0.0435548086289052	0.105842850342846	0.392254484010861	6968.91668492974	0.99991740216915
